Ticker,Total Revenue,Net Income,Net income to total revenue ratio,Market Cap,Free Cash Flow,EPS
AM,865689000.0,287783000.0,0.3324323169175073,7156350976,595064000.0,0.8
AMAL,299207000.0,99004000.0,0.330887980561952,1010932416,115747000.0,3.22
AMAT,26854000000.0,7450000000.0,0.2774260817755269,162621915136,7594000000.0,8.9
AMBA,218805000.0,-171447000.0,-0.7835607047370947,2446816512,7047000.0,-4.33
AMBC,354000000.0,71000000.0,0.2005649717514124,555059712,200000000.0,1.61
AMBI,2801192000.0,73564000.0,0.0262616771717183,328712256,-161810000.0,0.26
AMBO,2728000.0,-1001000.0,-0.3669354838709677,3687293,-290000.0,-1.2
AMBP,4826000000.0,-49000000.0,-0.0101533360961458,2139658624,237000000.0,-0.12
AMC,4492300000.0,-366000000.0,-0.0814727422478463,1741731200,-444800000.0,-1.2
AMCR,13640000000.0,730000000.0,0.0535190615835777,16534689792,829000000.0,0.5
AMCX,2538197000.0,58184000.0,0.0229233585887935,434366304,168712000.0,1.3
AMD,23276000000.0,1354000000.0,0.0581715071318095,240441376768,1121000000.0,0.84
AME,6824736000.0,1331860000.0,0.1951518710760386,39604232192,1599047000.0,5.74
AMED,2289626000.0,91983000.0,0.0401738100458328,3208906240,124475000.0,2.81
AMG,2028000000.0,638900000.0,0.3150394477317554,5182567424,861900000.0,17.18
AMGN,30934000000.0,3130000000.0,0.1011831641559449,179376537600,7359000000.0,5.81
AMH,1677403000.0,366105000.0,0.2182570318522144,16355690496,604513000.0,0.97
AMK,737462000.0,143298000.0,0.1943123849093241,2630344960,130347000.0,1.92
AMKR,6400589000.0,375970000.0,0.0587399065929713,8106198016,520553000.0,1.52
AMLX,298762000.0,-165869000.0,-0.5551877414128972,151143136,10678000.0,-2.46
AMN,3233295000.0,99228000.0,0.0306894360087774,2015240704,266778000.0,2.66
AMP,16283000000.0,3068000000.0,0.1884173678069151,44129931264,4501000000.0,29.21
AMPG,12281173.0,-7591905.0,-0.6181742574589577,8067276,-4161007.0,-0.79
AMPH,712891000.0,166515000.0,0.2335770826115072,2386427392,145337000.0,3.15
AMPL,287964000.0,-81165000.0,-0.2818581489352836,1088528384,22447000.0,-0.67
AMPS,172390000.0,23357000.0,0.1354892975230582,499168768,-77365000.0,0.13
AMPX,12423000.0,-40629000.0,-3.270466070997343,118824576,-43103000.0,-0.45
AMPY,311557000.0,27898000.0,0.0895438073931896,283364736,110212000.0,0.66
AMR,3369852000.0,455734000.0,0.1352385802106442,3112776448,605786000.0,34.08
AMRC,1512905000.0,57073000.0,0.0377241135431504,1571028224,-621758000.0,1.07
AMRK,10293439000.0,79440000.0,0.0077175373555912,892210368,-40106000.0,2.75
AMRN,264779000.0,-33523000.0,-0.1266074726469999,257187472,6347000.0,-0.09
AMRX,2597992000.0,-174616000.0,-0.0672119082737745,2680642304,276388000.0,-0.79
AMS,23104000.0,4254000.0,0.1841239612188365,19843200,-555000.0,0.66
AMSC,155675000.0,-8237000.0,-0.0529115143728922,774341056,1204000.0,-0.25
AMSF,309130000.0,57060000.0,0.1845825380907708,955703168,29289000.0,2.97
AMST,262036.0,-4170700.0,-15.9165152879757,5771339,-3645209.0,-1.64
AMSWA,105782000.0,11373000.0,0.1075135656349851,383059712,16244000.0,0.27
AMT,11339700000.0,2489500000.0,0.2195384357610871,104654389248,2924300000.0,5.34
AMTB,334260000.0,20527000.0,0.0614102794232034,743770560,15788000.0,0.61
AMTX,278649000.0,-48136000.0,-0.1727477938194646,116103640,-19294000.0,-1.06
AMWD,1808375000.0,107999000.0,0.0597215732356397,1388713088,139702000.0,6.76
AMWL,254911000.0,-307026000.0,-1.2044439039507906,124425304,-163591000.0,-21.08
AMX,813375844000.0,32491617000.0,0.0399466215276489,51134464000,91753389000.0,0.52
AMZN,604334000000.0,44419000000.0,0.0735007462760658,1873464524800,32217000000.0,4.19
AN,26626200000.0,780200000.0,0.0293019657329998,7062104064,313700000.0,18.36
ANAB,30473000.0,-170115000.0,-5.582482853673744,1150310400,-121607000.0,-6.35
ANDE,12362113000.0,102451000.0,0.0082874990707494,1736471424,796307000.0,2.97
ANET,6311667000.0,2462083000.0,0.3900844261904185,111015387136,1999580000.0,7.71
ANF,4465413000.0,425402000.0,0.0952659921937791,7541609472,495625000.0,9.44
ANGI,1211797000.0,-8787000.0,-0.0072512145186033,1346406272,46404000.0,0.0
ANGO,303914000.0,-184349000.0,-0.6065827832873774,300463424,-33926000.0,-4.59
ANIK,166880000.0,-74178000.0,-0.4444990412272291,380275200,-7215000.0,-5.06
ANIP,538953000.0,27015000.0,0.0501249645145309,1340668928,100448000.0,1.19
ANSS,2324646000.0,495076000.0,0.2129683401257653,28087801856,691804000.0,5.65
ANY,25026000.0,-17427000.0,-0.6963557899784224,18849346,-8143000.0,-1.28
AOMR,69248000.0,49473000.0,0.714432185767098,263547648,306404000.0,1.98
AON,14158000000.0,2549000000.0,0.1800395536092668,74670424064,3183000000.0,12.43
AONC,1458808000.0,-9762000.0,-0.0066917647833025,46264664,-30401000.0,-2.94
AORT,376974000.0,-8364000.0,-0.0221872065447484,1136989568,11395000.0,-0.21
AOS,3928700000.0,576500000.0,0.1467406521241123,11973885952,597700000.0,3.87
AOSL,657274000.0,-11081000.0,-0.0168590268289936,1211373696,-11378000.0,-0.39
AOUT,201099000.0,-12248000.0,-0.0609053252378181,118746224,18384000.0,-0.81
AP,431529000.0,-41732000.0,-0.096707289660718,40791428,-24134000.0,-2.14
APA,8969000000.0,2905000000.0,0.3238934106366373,10853008384,772000000.0,9.24
APAM,1032888000.0,234966000.0,0.2274844900899226,2907290624,244397000.0,3.35
APCX,455000.0,-17933000.0,-39.41318681318681,19376070,-9988000.0,-0.55
APD,12104400000.0,2570900000.0,0.2123938402564356,61992259584,-1420100000.0,11.51
APDN,3398050.0,-7288042.0,-2.144771854445932,19671854,-6296125.0,-7.5
APEI,610969000.0,10573000.0,0.0173052969954285,295972416,31619000.0,0.19
APG,6874000000.0,193000000.0,0.0280768111725341,9765442560,428000000.0,-1.87
APH,13392700000.0,2101800000.0,0.1569362413852322,81229357056,2155900000.0,1.68
API,138287000.0,-43829000.0,-0.3169423011562909,174752496,-30460000.0,-0.48
APLD,143912000.0,-91297000.0,-0.6343946300516983,534918432,-128015000.0,-1.31
APLE,1390305000.0,207258000.0,0.1490737643898281,3476328960,326978000.0,0.87
APLS,628786000.0,-332893000.0,-0.5294217746578327,4736697344,-595508000.0,-2.72
APLT,-333000.0,-161089000.0,483.75075075075074,728123648,-55173000.0,-1.43
APO,26699000000.0,5718000000.0,0.2141653245439904,65912172544,6322000000.0,9.25
APOG,1386745000.0,107048000.0,0.0771937162203577,1464699008,160974000.0,4.87
APP,3955751000.0,827024000.0,0.2090687710121289,31041703936,1057264000.0,2.35
APPF,722075000.0,125041000.0,0.1731689921407056,8414880768,46417000.0,3.45
APPN,578698000.0,-108772000.0,-0.1879598685324642,2349888512,-120079000.0,-1.48
APPS,516105000.0,-437205000.0,-0.8471241317173831,355603936,4398000.0,-4.33
APT,61089000.0,4711000.0,0.077116993239372,66595252,7666000.0,0.41
APTV,19985000000.0,3690000000.0,0.1846384788591443,16806688768,990000000.0,13.25
APWC,355453000.0,7150000.0,0.0201151769713576,29790410,-10384000.0,0.17
APYX,49031000.0,-28368000.0,-0.5785727396952948,46076388,-5782000.0,-0.82
AQB,2179013.0,-74319348.0,-34.10688600756397,3962424,,-19.79
AQMS,25000.0,-26475000.0,-1059.0,31193032,-13076000.0,-0.24
AQN,2627243000.0,123386000.0,0.046964060804425,4152802560,-398137000.0,0.16
AQST,58360000.0,-25719000.0,-0.4406956819739547,412500928,-7375000.0,-0.36
AR,4154919000.0,83254000.0,0.0200374544004347,8394079232,827204000.0,0.26
ARAY,430554000.0,-21488000.0,-0.0499077932152529,216352368,2858000.0,-0.16
ARBE,1372000.0,-45533000.0,-33.18731778425656,161823808,-33762000.0,-0.71
ARBK,63089000.0,-51523000.0,-0.8166716860308453,82377248,2719000.0,-0.9
ARC,285839000.0,7889000.0,0.0275994528388358,144454000,25831000.0,0.18
ARCB,4332135000.0,128319000.0,0.0296202680664383,2513527296,90169000.0,5.25
ARCC,1855000000.0,1684000000.0,0.9078167115902964,13288558592,511000000.0,2.86
ARCH,2807559000.0,259363000.0,0.0923802491773102,2469832960,458162000.0,13.85
ARCO,4492822000.0,170640000.0,0.0379805832503491,1853834496,21868000.0,0.81
ARCT,147028000.0,-71962000.0,-0.4894441875017004,570590400,-21000000.0,-2.69
ARDT,5595688000.0,107022000.0,0.0191257982932572,2830990336,84290000.0,0.59
ARDX,209999000.0,-65145000.0,-0.3102157629322044,1454945024,-90061000.0,-0.27
ARE,3029253000.0,153087000.0,0.0505362213060447,20915902464,1630550000.0,0.8
AREB,15454870.0,-18237807.0,-1.1800686126767808,4083086,-7042369.0,-3.95
AREC,5993044.0,-20195314.0,-3.3697923792984,39787368,-14515241.0,-0.19
AREN,190141000.0,-128266000.0,-0.6745835984874383,28112020,-28545000.0,-1.92
ARES,4653168000.0,403738000.0,0.0867662633285537,45822173184,-300444000.0,1.94
ARGX,1615262000.0,-204345000.0,-0.126508888341334,30933821440,-464139000.0,-3.48
ARHS,1275200000.0,88290000.0,0.0692361982434128,1730490624,75244000.0,0.63
ARI,332845000.0,23872000.0,0.0717210713695564,1465094784,201231000.0,0.05
ARIS,408437000.0,24400000.0,0.0597399354123157,977423616,14137000.0,0.75
ARKO,9315831000.0,35987000.0,0.0038629940796478,724726464,24885000.0,0.26
ARKR,184540000.0,-9803000.0,-0.0531212745204291,47719076,4529000.0,-2.72
ARL,50245000.0,3783000.0,0.0752910737386804,307049536,-31054000.0,0.24
ARLO,516743000.0,-21632000.0,-0.0418622022939836,1173253376,35455000.0,-0.22
ARLP,2506990000.0,527387000.0,0.2103666149446148,3063243008,451304000.0,4.04
ARM,3497000000.0,424000000.0,0.1212467829568201,139258249216,947000000.0,0.4
ARMK,17885319000.0,345543000.0,0.0193199237877725,9650137088,305023000.0,1.81
ARMN,466257000.0,11467000.0,0.0245937326410112,774038208,-9017000.0,0.08
AROC,1051974000.0,138817000.0,0.1319585845277545,3417636096,11555000.0,0.89
AROW,135821000.0,31730000.0,0.2336163038116344,510180032,13499000.0,1.89
ARQ,105078000.0,-4272000.0,-0.0406555130474504,249024800,-44169000.0,-0.05
